numero,fecha,precio
885,2015.9753424657533,442.4
886,2015.978082191781,453.0
887,2015.9808219178083,454.0
888,2015.9835616438356,415.4
889,2015.986301369863,422.4
890,2015.9890410958903,421.8
891,2015.9917808219177,431.9
892,2015.9945205479453,427.1
893,2015.9972602739726,430.0
894,2016.0,434.0
895,2016.0027322404371,433.7
896,2016.0054644808743,430.7
897,2016.0081967213114,433.3
898,2016.0109289617487,431.2
899,2016.0136612021859,430.8
900,2016.016393442623,457.0
901,2016.01912568306,452.9
902,2016.0218579234972,448.3
903,2016.0245901639344,446.2
904,2016.0273224043715,447.7
905,2016.0300546448088,445.0
906,2016.032786885246,432.2
907,2016.035519125683,429.1
908,2016.0382513661202,372.3
909,2016.0409836065573,385.0
910,2016.0437158469945,382.5
911,2016.0464480874316,384.4
912,2016.049180327869,379.5
913,2016.051912568306,414.6
914,2016.0546448087432,410.2
915,2016.0573770491803,382.6
916,2016.0601092896175,388.6
917,2016.0628415300546,402.1
918,2016.0655737704917,392.8
919,2016.068306010929,389.8
920,2016.0710382513662,395.0
921,2016.0737704918033,379.7
922,2016.0765027322404,380.3
923,2016.0792349726776,377.8
924,2016.0819672131147,369.8
925,2016.0846994535518,372.2
926,2016.0874316939892,373.9
927,2016.0901639344263,368.0
928,2016.0928961748634,390.6
929,2016.0956284153006,386.5
930,2016.0983606557377,376.7
931,2016.1010928961748,377.9
932,2016.103825136612,372.6
933,2016.1065573770493,375.3
934,2016.1092896174864,381.9
935,2016.1120218579235,379.5
936,2016.1147540983607,384.0
937,2016.1174863387978,390.1
938,2016.120218579235,405.5
939,2016.122950819672,401.1
940,2016.1256830601094,406.4
941,2016.1284153005465,417.1
942,2016.1311475409836,421.4
943,2016.1338797814208,420.0
944,2016.136612021858,440.1
945,2016.139344262295,437.9
946,2016.1420765027322,437.8
947,2016.1448087431695,419.9
948,2016.1475409836066,422.7
949,2016.1502732240438,423.5
950,2016.1530054644809,427.3
951,2016.155737704918,431.3
952,2016.1584699453551,432.5
953,2016.1612021857923,436.2
954,2016.1639344262296,434.0
955,2016.1666666666667,425.4
956,2016.1693989071039,419.6
957,2016.172131147541,409.5
958,2016.1748633879781,399.0
959,2016.1775956284152,406.0
960,2016.1803278688524,414.9
961,2016.1830601092897,411.9
962,2016.1857923497269,412.8
963,2016.188524590164,415.8
964,2016.191256830601,419.1
965,2016.1939890710382,410.4
966,2016.1967213114754,412.4
967,2016.1994535519125,414.3
968,2016.2021857923498,415.1
969,2016.204918032787,415.9
970,2016.207650273224,418.2
971,2016.2103825136612,408.2
972,2016.2131147540983,408.7
973,2016.2158469945355,411.5
974,2016.2185792349726,411.1
975,2016.22131147541,416.2
976,2016.224043715847,417.0
977,2016.2267759562842,414.7
978,2016.2295081967213,415.7
979,2016.2322404371585,416.5
980,2016.2349726775956,424.6
981,2016.2377049180327,422.2
982,2016.24043715847,415.0
983,2016.2431693989072,412.4
984,2016.2459016393443,415.7
985,2016.2486338797814,415.6
986,2016.2513661202186,418.5
987,2016.2540983606557,419.1
988,2016.2568306010928,419.3
989,2016.25956284153,422.1
990,2016.2622950819673,421.3
991,2016.2650273224044,420.1
992,2016.2677595628415,417.7
993,2016.2704918032787,418.0
994,2016.2732240437158,420.3
995,2016.275956284153,421.4
996,2016.27868852459,424.7
997,2016.2814207650274,423.5
998,2016.2841530054645,424.0
999,2016.2868852459017,428.7
1000,2016.2896174863388,430.0
1001,2016.292349726776,426.3
1002,2016.295081967213,427.7
1003,2016.2978142076502,434.9
1004,2016.3005464480875,441.2
1005,2016.3032786885246,449.3
1006,2016.3060109289618,445.3
1007,2016.308743169399,450.1
1008,2016.311475409836,457.6
1009,2016.3142076502731,461.7
1010,2016.3169398907103,466.0
1011,2016.3196721311476,447.0
1012,2016.3224043715848,448.5
1013,2016.3251366120219,455.0
1014,2016.327868852459,448.5
1015,2016.3306010928961,452.2
1016,2016.3333333333333,444.2
1017,2016.3360655737704,450.3
1018,2016.3387978142077,445.8
1019,2016.3415300546449,448.1
1020,2016.344262295082,459.6
1021,2016.3469945355191,458.5
1022,2016.3497267759562,457.9
1023,2016.3524590163934,460.4
1024,2016.3551912568305,449.4
1025,2016.3579234972678,452.5
1026,2016.360655737705,454.4
1027,2016.363387978142,455.4
1028,2016.3661202185792,456.4
1029,2016.3689663023679,458.1
1030,2016.371698542805,454.9
1031,2016.3744307832424,453.3
1032,2016.3771630236795,454.2
1033,2016.3798952641166,442.7
1034,2016.3826275045537,442.1
1035,2016.3853597449909,443.6
1036,2016.388091985428,439.6
1037,2016.3908242258651,443.7
1038,2016.3935564663025,446.1
1039,2016.3962887067396,449.8
1040,2016.3990209471767,453.3
1041,2016.4017531876138,474.0
1042,2016.404485428051,524.2
1043,2016.407217668488,516.0
1044,2016.4099499089252,532.3
1045,2016.4126821493626,528.9
1046,2016.4154143897997,537.4
1047,2016.4181466302368,537.1
1048,2016.420878870674,567.0
1049,2016.423611111111,572.0
1050,2016.4263433515482,574.9
1051,2016.4290755919853,583.6
1052,2016.4318078324227,575.6
